"","GSM614501","GSM614502","GSM614503","GSM614504","GSM614505","GSM614506","GSM614507","GSM614508","GSM614509","GSM614510","GSM614511","GSM614512","GSM614513","GSM614514","GSM614515","GSM614516","GSM614517","GSM614518","GSM614519","GSM614520","GSM614521","GSM614522","GSM614523","GSM614524"
"225808_at",3499.1,3482.55,3421.91,3651.28,3405.8,3755.85,3723.85,3226.25,3391.82,3791.29,3665.89,3850.92,3504.79,3584.91,3290.32,3553.08,3565.39,3895.41,3909.11,3676.14,3683.45,3337.67,3478.36,3451.94
"225809_at",12.3832,5.02314,6.10187,11.3395,4.54194,2.40568,4.67833,2.78009,8.58506,46.5355,13.4376,5.7031,2.41902,8.49941,1.87138,5.8881,8.79773,9.30922,17.1108,6.21638,3.92645,8.63441,4.67211,7.63268
"225810_at",2475.62,2434.59,2481.72,2216.92,2344.01,2585.83,1677.77,1692.34,1685.04,1693.72,1704.7,1729.72,2616.68,2561.13,2622.9,2643.45,2536.99,2249.03,1984.94,1765.36,1933.72,1545.43,1768.39,1600.76
"225811_at",1908.11,1808.76,1860.91,1783.18,1791.03,1916.98,1361.65,1491.82,1465.68,1542.61,1593.45,1367.52,1861.24,1843.53,1736.07,1711.02,1639.05,1697.39,1480.28,1400.65,1322.38,1352.58,1310.57,1525.16
"225812_at",507.467,453.994,476.758,566.02,631.7,586.681,795.154,843.221,690.844,783.185,814.558,669.566,481.195,422.188,478.386,529.475,513.338,532.529,774.66,726.701,764.972,755.636,746.514,881.426
"225813_at",1637.62,1706.19,1574.64,1539.41,1691.81,1597.4,1366.26,1412.43,1448.63,1355.13,1316.06,1695.58,1678.81,1697.22,1677.62,1633.94,1714.24,1518.46,1447.72,1274.11,1067.37,1338.25,1325.11,1194.62
"225814_at",1137.59,1089.57,1004.03,1048.08,1210.64,952.371,818.4,853.78,878.422,743.368,714.006,613.201,983.714,1033.12,920.018,783.523,755.215,775.023,963.574,829.07,926.705,892.917,915.993,655.214
"225815_at",29.9987,77.4247,61.1763,30.1099,14.2285,50.0058,6.60747,67.4064,19.6567,9.75823,34.2466,40.4352,64.0257,49.8797,45.6448,16.2953,13.0108,82.0297,15.7933,35.8085,25.2333,48.1315,5.37892,13.5501
"225816_at",429.852,445.846,355.162,419.659,440.074,428.181,523.424,433.722,489.032,411.04,362.384,505.908,468.939,554.065,432.16,355.369,536.383,544.805,395.181,495.956,362.674,453.341,516.854,497.658
"225817_at",1236.25,1343.88,1437.34,1057.58,1173.65,1119.99,2621.31,2667.58,2381.84,2163.85,2398.43,2084.28,1443.78,1374.1,1242.72,1329.61,1411.45,1404.86,2565.83,2410.92,2780.75,2397.04,2189.68,2183.58
"225818_s_at",262.193,338.173,324.732,270.416,315.782,271.639,229.836,246.015,331.621,244.511,216.71,295.265,234.819,251.752,255.643,313.231,185.825,306.896,322.971,331.376,279.291,282.294,263.93,237.683
"225819_at",350.041,314.612,309.547,349.372,379.798,327.292,308.883,286.449,325.094,414.923,250.599,390.304,410.86,457.057,386.902,378.414,377.543,351.79,339.725,402.351,345.672,321.425,322.814,230.559
"225820_at",171.272,127.952,98.4485,173.697,88.9743,141.176,270.028,246.082,175.609,240.753,232.401,274.973,171.585,198.73,267.373,166.92,215.149,210.546,170.466,198.242,152.435,233.395,184.671,198.225
"225821_s_at",865.578,840.476,849.581,688.28,838.918,668.597,816.331,716.177,777.258,688.199,769.957,737.046,740.13,738.497,647.094,644.91,723.046,705.894,749.124,666.396,584.693,638.025,684.034,698.009
"225822_at",40.8526,78.772,56.8119,9.00611,47.5548,31.8649,21.9145,78.5267,80.698,66.2844,79.0681,49.2276,28.001,88.7469,30.6967,45.5695,44.9579,71.8985,63.6437,43.0472,7.06669,19.5382,37.0556,59.3515
"225823_at",3698.27,3596.95,3709.11,3747.95,3303.62,3947.04,4133.32,3803.33,3753.61,3939.03,3480.43,3443.68,3559.36,3205.69,3525.54,3268.57,3161.27,3567.98,3963.33,3966.87,4675.95,4399.39,4123.5,4358.73
"225824_at",1226.25,1336.76,1394.9,1243.89,1570,1411.83,1938.45,1924.23,1927.92,1907.76,1945.57,1912.49,1511.71,1461.59,1618.9,1532.09,1658.13,1583.79,1707.85,1663.95,1886.38,1633.92,1603.03,1615.79
"225825_at",748.702,765.865,805.603,666.529,682.266,686.941,544.319,594.187,577.102,479.839,504.154,566.663,672.844,653.213,675.117,675.61,649.069,650.479,689.598,545.593,640.474,547.445,541.982,618.373
"225826_at",267.864,252.654,238.745,288.976,297.374,318.446,367.741,421.63,321.063,351.774,377.923,484.544,270.287,205.635,301.087,299.195,227.415,269.069,356.385,324.105,382.387,368.023,386.161,346.173
"225827_at",1292.5,1479.19,1230.6,1272.16,1121.8,1075.56,2416.89,1866.43,2216.26,1808.91,1414.35,2085.13,1190.85,1431.09,1141.88,1131.12,1163.42,1053.87,2008.6,2101.27,1842.7,1823.63,1599.06,1647.65
"225828_at",147.819,180.357,187.086,88.6131,159.94,140.287,141.263,137.415,193.51,240.959,171.794,227.768,137.228,86.7675,118.614,153.937,156.664,114.5,188.273,219.421,263.166,152.014,235.846,166.037
"225829_at",229.042,259.508,258.674,261.961,239.58,234.593,223.027,202.511,227.553,252.742,210.812,193.861,257.438,213.426,220.735,249.875,272.293,239.793,243.429,243.268,195.045,259.219,215.018,162.273
"225830_at",271.159,305.137,245.089,214.314,272.99,279.241,233.507,177.399,217.64,206.364,192.001,207.364,248.272,285.981,211.358,275.491,252.738,210.468,225.319,267.9,218.364,254.235,223.7,235.02
"225831_at",1312.65,1323.29,1324.98,1269.68,1474.27,1333.69,1506.58,1529.62,1482.08,1339.74,1434.08,1222.21,1274.13,1199.39,1249.61,1216.09,1361.3,1284.34,1478.4,1449.72,1544.22,1336.88,1458.18,1383.83
